,rank,artist,name,value,date,country,country_code,lastValue,year
98,9,The Weeknd,I Feel It Coming,2512007,2017-01-10,global,global,2432378.0,2017.0246575342467
99,10,Drake,Fake Love,2462919,2017-01-10,global,global,2420381.0,2017.0246575342467
100,1,Ed Sheeran,Shape of You,7193934,2017-01-11,global,global,7145757.0,2017.027397260274
101,2,Ed Sheeran,Castle on the Hill,4541568,2017-01-11,global,global,4608104.0,2017.027397260274
102,3,The Weeknd,Starboy,3523086,2017-01-11,global,global,3424457.0,2017.027397260274
103,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3247065,2017-01-11,global,global,3157514.0,2017.027397260274
104,5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3192419,2017-01-11,global,global,3094116.0,2017.027397260274
105,6,The Chainsmokers,Closer (feat. Halsey),2954519,2017-01-11,global,global,2880750.0,2017.027397260274
106,7,James Arthur,Say You Won't Let Go,2691922,2017-01-11,global,global,2636733.0,2017.027397260274
107,8,Maroon 5,Don't Wanna Know,2630434,2017-01-11,global,global,2559976.0,2017.027397260274
108,9,The Weeknd,I Feel It Coming,2600510,2017-01-11,global,global,2512007.0,2017.027397260274
109,10,Drake,Fake Love,2545030,2017-01-11,global,global,2462919.0,2017.027397260274
110,1,Ed Sheeran,Shape of You,7081620,2017-01-12,global,global,7193934.0,2017.0301369863014
111,2,Ed Sheeran,Castle on the Hill,4318590,2017-01-12,global,global,4541568.0,2017.0301369863014
112,3,The Weeknd,Starboy,3565509,2017-01-12,global,global,3523086.0,2017.0301369863014
113,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3296224,2017-01-12,global,global,3247065.0,2017.0301369863014
114,5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3204571,2017-01-12,global,global,3192419.0,2017.0301369863014
115,6,The Chainsmokers,Closer (feat. Halsey),2978360,2017-01-12,global,global,2954519.0,2017.0301369863014
116,7,James Arthur,Say You Won't Let Go,2700028,2017-01-12,global,global,2691922.0,2017.0301369863014
117,8,The Weeknd,I Feel It Coming,2653707,2017-01-12,global,global,2600510.0,2017.0301369863014
118,9,Maroon 5,Don't Wanna Know,2629010,2017-01-12,global,global,2630434.0,2017.0301369863014
119,10,Drake,Fake Love,2574514,2017-01-12,global,global,2545030.0,2017.0301369863014
120,1,Ed Sheeran,Shape of You,7275946,2017-01-13,global,global,7081620.0,2017.0328767123287
121,2,Ed Sheeran,Castle on the Hill,4195411,2017-01-13,global,global,4318590.0,2017.0328767123287
122,3,The Weeknd,Starboy,3747787,2017-01-13,global,global,3565509.0,2017.0328767123287
123,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3468827,2017-01-13,global,global,3296224.0,2017.0328767123287
124,5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3412242,2017-01-13,global,global,3204571.0,2017.0328767123287
125,6,The Chainsmokers,Closer (feat. Halsey),3080310,2017-01-13,global,global,2978360.0,2017.0328767123287
126,7,The Weeknd,I Feel It Coming,2803318,2017-01-13,global,global,2653707.0,2017.0328767123287
127,8,Drake,Fake Love,2735247,2017-01-13,global,global,2574514.0,2017.0328767123287
128,9,Maroon 5,Don't Wanna Know,2716839,2017-01-13,global,global,2629010.0,2017.0328767123287
129,10,James Arthur,Say You Won't Let Go,2712009,2017-01-13,global,global,2700028.0,2017.0328767123287
130,1,Ed Sheeran,Shape of You,7093868,2017-01-14,global,global,7275946.0,2017.035616438356
131,2,Ed Sheeran,Castle on the Hill,4007488,2017-01-14,global,global,4195411.0,2017.035616438356
132,3,The Weeknd,Starboy,3663324,2017-01-14,global,global,3747787.0,2017.035616438356
133,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),3458474,2017-01-14,global,global,3412242.0,2017.035616438356
134,5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3417668,2017-01-14,global,global,3468827.0,2017.035616438356
135,6,The Chainsmokers,Closer (feat. Halsey),3036772,2017-01-14,global,global,3080310.0,2017.035616438356
136,7,The Chainsmokers,Paris,2981107,2017-01-14,global,global,2981107.0,2017.035616438356
137,8,Maroon 5,Don't Wanna Know,2749116,2017-01-14,global,global,2716839.0,2017.035616438356
138,9,Drake,Fake Love,2744910,2017-01-14,global,global,2735247.0,2017.035616438356
139,10,The Weeknd,I Feel It Coming,2733709,2017-01-14,global,global,2803318.0,2017.035616438356
140,1,Ed Sheeran,Shape of You,6451891,2017-01-15,global,global,7093868.0,2017.0383561643835
141,2,Ed Sheeran,Castle on the Hill,3581077,2017-01-15,global,global,4007488.0,2017.0383561643835
142,3,The Weeknd,Starboy,3203886,2017-01-15,global,global,3663324.0,2017.0383561643835
143,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3087541,2017-01-15,global,global,3417668.0,2017.0383561643835
144,5,The Chainsmokers,Paris,3025149,2017-01-15,global,global,2981107.0,2017.0383561643835
145,6,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),2983295,2017-01-15,global,global,3458474.0,2017.0383561643835
146,7,The Chainsmokers,Closer (feat. Halsey),2643320,2017-01-15,global,global,3036772.0,2017.0383561643835
147,8,James Arthur,Say You Won't Let Go,2522282,2017-01-15,global,global,2522282.0,2017.0383561643835
148,9,Drake,Fake Love,2488201,2017-01-15,global,global,2744910.0,2017.0383561643835
149,10,Maroon 5,Don't Wanna Know,2439527,2017-01-15,global,global,2749116.0,2017.0383561643835
150,1,Ed Sheeran,Shape of You,7071702,2017-01-16,global,global,6451891.0,2017.041095890411
